course,plannedNumberOfStudents,seniorHours,assistantHours
I-2858,200,240,400
I-2859,60,240,400
I-2860,150,260,560
I-2861,200,280,360
I-2862,100,260,480
I-2863,200,280,700
I-2864,200,280,700
I-2865,150,260,700
I-2866,150,260,420
I-2867,100,260,560
I-2868,200,260,420
I-2869,200,240,360
I-2870,100,280,480
I-2871,150,260,700
I-2872,60,280,560
I-2873,60,260,360
I-2874,60,240,700
I-2875,100,280,560
I-2876,60,280,600
I-2877,200,260,560
I-2878,60,280,480
I-2879,100,260,420
I-2880,200,240,700
I-2881,200,280,360
I-2882,100,260,400
I-2883,150,260,480
I-2884,60,260,400
I-2885,100,260,560
I-2886,60,240,300
I-2887,150,240,480
I-2888,200,260,700
I-2889,200,280,700
I-2890,100,260,480
I-2891,60,260,700
I-2892,200,280,360
I-2893,150,280,700
I-2894,150,260,400
I-2895,60,280,600
I-2896,100,280,700
I-2897,150,260,300
I-2898,200,280,300
I-2899,150,280,700
I-2900,200,280,600
I-2901,60,280,500
I-2902,60,260,420
I-2903,150,260,360
I-2904,100,260,420
I-2905,200,240,400
I-2906,60,240,560
I-2907,100,260,300
I-2908,60,280,600
I-2909,200,280,560
I-2910,60,240,420
I-2911,200,280,600
I-2912,100,240,300
I-2913,150,280,420
I-2914,60,280,420
I-2915,200,280,600
I-2916,200,240,400
I-2917,60,260,560
I-2918,60,280,500
I-2919,60,260,560
I-2920,150,260,300
I-2921,100,280,700
I-2922,200,280,300
I-2923,150,260,300
I-2924,100,240,560
I-2925,150,280,480
I-2926,150,240,300
I-2927,60,280,500
I-2928,100,240,500
I-2929,100,240,420
I-2930,60,240,400
I-2931,100,260,700
I-2932,100,280,400
I-2933,100,280,600
I-2934,200,280,500
I-2935,100,240,360
I-2936,60,260,420
I-2937,100,280,420
I-2938,150,240,560
I-2939,60,240,500
I-2940,150,280,400
I-2941,100,240,420
I-2942,150,280,560
I-2943,150,240,300
I-2944,100,240,400
I-2945,100,240,500
I-2946,60,240,400
I-2947,100,240,360
I-2948,100,240,700
I-2949,150,280,300
I-2950,150,260,480
I-2951,100,260,500
I-2952,60,280,300
I-2953,200,240,500
I-2954,100,280,420
I-2955,60,260,360
I-2956,100,260,600
I-2957,100,240,480
I-2958,60,240,400
I-2959,60,240,600
I-2960,200,260,500
I-2961,200,280,500
I-2962,100,240,360
I-2963,100,280,420
I-2964,60,280,500
I-2965,150,280,700
I-2966,100,260,500
I-2967,150,280,700
I-2968,200,240,420
I-2969,60,240,480
I-2970,60,260,360
I-2971,100,280,480
I-2972,60,260,400
I-2973,200,240,480
I-2974,100,260,560
I-2975,200,260,420
I-2976,60,240,360
I-2977,60,240,560
I-2978,60,280,300
I-2979,200,260,360
I-2980,150,260,480
I-2981,200,240,360
I-2982,60,260,420
I-2983,200,260,420
I-2984,60,280,560
I-2985,60,240,600
I-2986,200,240,360
I-2987,100,280,500
I-2988,200,280,600
I-2989,200,240,560
I-2990,60,240,420
I-2991,100,280,420
I-2992,60,280,700
I-2993,150,260,360
I-2994,100,240,600
I-2995,200,280,360
I-2996,200,240,500
I-2997,200,240,400
I-2998,60,260,500
I-2999,150,280,360
I-3000,60,240,600
I-3001,100,240,500
I-3002,200,280,700
I-3003,150,280,400
I-3004,200,280,700
I-3005,200,260,560
I-3006,100,260,700
I-3007,100,260,600
I-3008,60,280,420
I-3009,60,240,600
I-3010,100,240,500
I-3011,150,240,700
I-3012,60,260,500
I-3013,150,240,400
I-3014,60,260,420
I-3015,150,240,560
I-3016,100,260,600
I-3017,100,280,300
I-3018,200,260,420
I-3019,100,280,420
I-3020,60,260,300
I-3021,150,260,560
I-3022,150,240,700
I-3023,60,280,420
I-3024,150,240,560
I-3025,60,260,400
I-3026,200,240,400
I-3027,200,280,700
I-3028,60,260,600
I-3029,200,260,400
I-3030,60,280,600
I-3031,100,240,560
I-3032,60,280,360
I-3033,100,280,600
I-3034,100,240,700
I-3035,60,280,400
I-3036,60,280,480
I-3037,150,240,360
I-3038,60,240,400
I-3039,200,240,420
I-3040,150,240,300
I-3041,60,260,420
I-3042,100,280,560
I-3043,60,280,420
I-3044,200,240,420
I-3045,60,260,420
I-3046,60,260,600
I-3047,100,280,500
I-3048,100,260,300
I-3049,150,240,500
I-3050,200,260,560
I-3051,200,260,360
I-3052,150,280,360
I-3053,100,240,420
I-3054,150,260,600
I-3055,200,260,700
I-3056,60,240,700
I-3057,150,240,560
I-3058,150,260,700
I-3059,200,280,420
I-3060,100,240,600
I-3061,150,240,400
I-3062,100,240,480
I-3063,200,260,600
I-3064,150,240,700
I-3065,150,280,400
I-3066,200,280,300
I-3067,60,280,300
I-3068,150,280,700
I-3069,60,240,420
I-3070,200,240,480
I-3071,60,260,500
I-3072,150,240,480
I-3073,60,280,700
I-3074,60,280,300
I-3075,100,260,480
I-3076,60,240,500
I-3077,200,260,300
I-3078,150,240,300
I-3079,150,260,560
I-3080,150,280,560
I-3081,150,280,360
I-3082,100,260,700
I-3083,100,260,300
I-3084,100,240,400
I-3085,100,280,560
I-3086,60,240,480
I-3087,60,260,480
I-3088,150,260,360
I-3089,200,260,360
I-3090,60,280,360
I-3091,100,280,600
I-3092,200,260,500
I-3093,150,260,420
I-3094,150,260,480
I-3095,100,280,500
I-3096,200,280,560
I-3097,150,240,700
I-3098,150,240,600
I-3099,200,280,500
I-3100,200,260,300
I-3101,60,280,500
I-3102,100,280,400
I-3103,60,280,420
I-3104,150,240,600
I-3105,200,280,480
I-3106,200,280,500
I-3107,150,240,420
I-3108,100,260,360
I-3109,200,280,300
I-3110,100,260,420
I-3111,100,240,700
I-3112,60,240,420
I-3113,200,280,360
I-3114,200,260,400
I-3115,150,280,700
I-3116,100,240,600
I-3117,60,280,500
I-3118,200,280,360
I-3119,100,240,700
I-3120,100,280,420
I-3121,150,240,300
I-3122,200,240,700
I-3123,150,280,300
I-3124,100,240,420
I-3125,60,280,700
I-3126,200,280,480
I-3127,150,240,420
I-3128,100,280,480
I-3129,100,280,420
I-3130,200,240,400
I-3131,60,240,500
I-3132,100,280,420
I-3133,60,260,300
I-3134,60,280,420
I-3135,100,260,420
I-3136,200,240,480
I-3137,200,240,300
I-3138,60,240,500
I-3139,150,240,600
I-3140,60,240,360
I-3141,200,240,600
I-3142,100,240,420
I-3143,150,280,600
I-3144,100,240,700
I-3145,60,260,560
I-3146,60,280,420
I-3147,100,240,360
I-3148,150,260,500
I-3149,200,260,480
I-3150,60,260,300
I-3151,60,260,300
I-3152,100,260,700
I-3153,200,280,400
I-3154,60,280,500
I-3155,100,280,560
I-3156,150,280,300
I-3157,100,280,420
I-3158,60,280,480
I-3159,150,240,420
I-3160,100,240,480
I-3161,150,260,560
I-3162,60,260,480
I-3163,100,260,300
I-3164,60,280,700
I-3165,200,260,600
I-3166,60,240,480
I-3167,100,280,700
I-3168,60,280,360
I-3169,100,280,360
I-3170,60,240,300
I-3171,200,260,480
I-3172,150,280,300
I-3173,100,240,360
I-3174,60,240,400
I-3175,200,240,700
I-3176,150,260,300
I-3177,150,240,700
I-3178,100,280,400
I-3179,100,240,480
I-3180,200,260,500
I-3181,150,260,300
I-3182,150,240,600
I-3183,100,280,500
I-3184,60,240,600
I-3185,200,240,360
I-3186,200,280,420
I-3187,100,240,420
I-3188,100,260,400
I-3189,60,260,480
I-3190,60,240,700
I-3191,200,240,600
I-3192,150,280,360
I-3193,150,260,300
I-3194,150,240,300
I-3195,200,240,700
I-3196,200,260,420
I-3197,150,240,300
I-3198,100,240,560
I-3199,150,260,700
I-3200,150,240,480
I-3201,100,240,360
I-3202,150,240,560
I-3203,150,240,600
I-3204,150,280,400
I-3205,200,280,600
I-3206,60,260,480
I-3207,150,280,500
I-3208,100,260,700
I-3209,150,240,400
I-3210,200,240,300
I-3211,60,260,480
I-3212,150,240,420
I-3213,200,240,360
I-3214,200,240,600
I-3215,100,240,500
I-3216,150,240,560
I-3217,60,260,360
I-3218,100,240,420
I-3219,150,280,480
I-3220,200,280,400
I-3221,100,240,300
I-3222,150,260,300
I-3223,60,280,700
I-3224,100,280,500
I-3225,150,240,560
I-3226,150,260,600
I-3227,60,240,500
I-3228,60,260,300
I-3229,60,260,700
I-3230,60,240,480
I-3231,100,280,420
I-3232,100,260,360
I-3233,150,280,560
I-3234,60,280,300
I-3235,150,260,600
I-3236,200,240,600
I-3237,150,280,560
I-3238,150,280,400
I-3239,60,260,560
I-3240,60,260,360
I-3241,100,280,500
I-3242,200,240,700
I-3243,150,280,560
I-3244,100,260,420
I-3245,150,280,420
I-3246,200,280,480
I-3247,200,260,480
I-3248,60,280,700
I-3249,150,260,700
I-3250,100,260,560
I-3251,150,260,360
I-3252,150,280,400
I-3253,100,240,480
I-3254,150,240,560
I-3255,200,240,300
I-3256,150,240,600
I-3257,150,280,360
I-3258,200,240,480
I-3259,60,260,480
I-3260,200,240,360
I-3261,200,240,600
I-3262,100,280,300
I-3263,150,260,560
I-3264,100,280,560
I-3265,60,240,480
I-3266,150,240,600
I-3267,100,280,400
I-3268,200,240,600
I-3269,200,260,500
I-3270,150,280,400
I-3271,100,240,300
I-3272,150,280,700
I-3273,200,280,480
I-3274,200,260,500
I-3275,100,280,700
I-3276,100,280,700
I-3277,150,240,700
I-3278,60,240,300
I-3279,150,240,600
I-3280,200,260,600
I-3281,100,260,400
I-3282,150,240,480
I-3283,200,260,420
I-3284,200,240,360
I-3285,200,260,300
I-3286,100,280,420
I-3287,150,240,420
I-3288,200,280,360
I-3289,100,260,600
I-3290,100,280,700
I-3291,100,260,300
I-3292,60,240,480
I-3293,100,240,300
I-3294,100,260,300
I-3295,60,280,420
I-3296,100,280,560
I-3297,100,260,360
I-3298,150,260,300
I-3299,100,260,480
I-3300,200,240,360
I-3301,200,240,420
I-3302,60,280,500
I-3303,60,240,420
I-3304,60,260,600
I-3305,100,280,420
I-3306,100,280,300
I-3307,60,280,600
I-3308,150,260,500
I-3309,200,280,360
I-3310,150,260,560
I-3311,100,260,480
I-3312,150,280,500
I-3313,60,240,700
I-3314,60,240,360
I-3315,100,260,300
I-3316,100,260,300
I-3317,200,280,420
I-3318,60,260,600
I-3319,60,260,480
I-3320,200,280,420
I-3321,60,240,300
I-3322,150,280,560
I-3323,200,280,420
I-3324,60,240,400
I-3325,150,260,700
I-3326,100,280,420
I-3327,150,280,600
I-3328,60,260,400
I-3329,60,240,400
I-3330,100,240,480
I-3331,100,240,600
I-3332,150,240,500
I-3333,150,260,300
I-3334,100,260,700
I-3335,150,280,420
I-3336,200,240,560
I-3337,60,280,500
I-3338,60,240,400
I-3339,60,280,560
I-3340,60,240,400
I-3341,100,240,600
I-3342,150,240,360
I-3343,150,240,560
I-3344,150,240,600
I-3345,60,260,360
I-3346,100,280,500
I-3347,150,260,360
I-3348,60,280,600
I-3349,200,240,420
I-3350,150,240,700
I-3351,150,240,400
I-3352,60,260,560
I-3353,60,280,600
I-3354,150,240,560
I-3355,200,240,560
I-3356,60,240,480
I-3357,100,240,400
I-3358,150,240,600
I-3359,200,260,420
I-3360,150,280,400
I-3361,100,280,700
I-3362,200,260,400
I-3363,60,260,300
I-3364,150,280,400
I-3365,200,240,420
I-3366,100,240,300
I-3367,60,260,400
I-3368,60,260,400
I-3369,60,280,600
I-3370,60,240,480
I-3371,100,260,600
I-3372,200,260,700
I-3373,60,260,480
I-3374,200,240,700
I-3375,200,280,400
I-3376,150,240,420
I-3377,100,240,360
I-3378,150,260,560
I-3379,60,240,300
I-3380,150,280,300
I-3381,200,240,420
I-3382,200,280,480
I-3383,100,260,420
I-3384,200,260,300
I-3385,200,280,300
I-3386,200,280,400
I-3387,200,260,700
I-3388,150,280,500
I-3389,60,280,500
I-3390,150,240,500
I-3391,200,280,700
I-3392,100,260,600
I-3393,150,280,360
I-3394,150,260,500
I-3395,100,280,500
I-3396,60,260,480
I-3397,100,240,400
I-3398,60,260,600
I-3399,100,280,500
I-3400,200,260,700
I-3401,100,260,560
I-3402,150,280,400
I-3403,200,260,700
I-3404,100,260,360
I-3405,100,260,360
I-3406,60,280,600
I-3407,100,260,360
I-3408,100,280,300
I-3409,60,260,400
I-3410,200,280,360
I-3411,150,280,600
I-3412,150,280,560
I-3413,100,260,400
I-3414,100,240,360
I-3415,200,260,560
I-3416,60,240,400
I-3417,100,280,420
I-3418,200,280,600
I-3419,200,240,700
I-3420,200,240,480
I-3421,200,260,700
I-3422,200,260,360
I-3423,150,280,400
I-3424,100,240,480
I-3425,150,260,560
I-3426,150,260,560
I-3427,200,240,300
I-3428,60,260,600
I-3429,60,240,700
I-3430,200,280,480
I-3431,100,280,420
I-3432,100,240,300
I-3433,60,280,480
I-3434,150,240,700
I-3435,200,240,500
I-3436,100,240,420
I-3437,150,260,560
I-3438,200,280,560
I-3439,60,280,700
I-3440,100,280,500
I-3441,60,240,500
I-3442,150,240,500
I-3443,60,260,360
I-3444,200,280,420
I-3445,150,280,500
I-3446,60,280,500
I-3447,150,260,600
I-3448,150,260,560
I-3449,60,240,300
I-3450,200,240,600
I-3451,150,260,700
I-3452,60,260,300
I-3453,60,240,360
I-3454,60,240,360
I-3455,200,240,420
I-3456,200,280,600
I-3457,100,260,500
I-3458,60,280,480
I-3459,200,280,480
I-3460,60,280,600
I-3461,150,280,300
I-3462,200,260,600
I-3463,150,260,420
I-3464,100,260,400
I-3465,150,240,700
I-3466,150,260,480
I-3467,60,280,480
I-3468,100,260,300
I-3469,150,260,300
I-3470,100,240,480
I-3471,200,260,400
I-3472,200,240,400
I-3473,150,280,360
I-3474,200,240,600
I-3475,150,240,420
I-3476,100,280,480
I-3477,150,260,500
I-3478,150,260,560
I-3479,60,280,700
I-3480,100,280,400
I-3481,60,260,560
I-3482,150,260,500
I-3483,200,280,420
I-3484,150,240,400
I-3485,150,240,500
I-3486,150,260,600
I-3487,150,240,480
I-3488,200,260,700
I-3489,150,280,500
I-3490,60,280,300
I-3491,100,280,360
I-3492,100,240,600
I-3493,100,280,560
I-3494,150,280,600
I-3495,60,280,300
I-3496,200,280,360
I-3497,60,280,360
I-3498,100,240,300
I-3499,200,280,500
I-3500,150,240,300
I-3501,200,240,560
I-3502,200,280,600
I-3503,150,280,500
I-3504,60,240,400
I-3505,100,240,700
I-3506,60,240,420
I-3507,60,280,560
I-3508,150,280,480
I-3509,200,280,300
I-3510,200,240,480
I-3511,100,260,700
I-3512,60,240,400
I-3513,100,260,700
I-3514,150,280,480
I-3515,100,240,600
I-3516,60,260,300
I-3517,60,280,480
I-3518,60,280,560
I-3519,100,280,480
I-3520,60,240,600
I-3521,200,260,420
I-3522,150,240,600
I-3523,60,260,600
I-3524,60,280,360
I-3525,100,240,600
I-3526,100,280,300
I-3527,200,260,700
I-3528,100,280,420
I-3529,100,260,420
I-3530,60,280,480
I-3531,60,260,420
I-3532,150,280,600
I-3533,100,280,500
I-3534,100,240,500
I-3535,150,280,360
I-3536,150,240,480
I-3537,60,240,480
I-3538,60,260,700
I-3539,60,260,600
I-3540,60,280,360
I-3541,100,280,360
I-3542,150,240,500
I-3543,60,240,600
I-3544,60,240,300
I-3545,150,280,420
I-3546,200,240,480
I-3547,100,240,420
I-3548,200,280,700
I-3549,100,260,700
I-3550,150,280,300
I-3551,100,260,480
I-3552,60,280,480
I-3553,100,260,400
I-3554,150,240,360
I-3555,150,240,600
I-3556,200,240,600
I-3557,60,260,480
I-3558,150,260,500
I-3559,100,240,400
I-3560,150,280,400
I-3561,100,280,600
I-3562,60,240,600
I-3563,200,240,700
I-3564,200,240,400
I-3565,60,280,600
I-3566,200,280,500
I-3567,150,280,420
I-3568,100,240,600
I-3569,150,240,420
I-3570,200,260,420
I-3571,100,260,700
I-3572,150,240,300
I-3573,100,280,700
I-3574,150,280,360
I-3575,100,280,420
I-3576,200,280,360
I-3577,150,240,480
I-3578,100,240,420
I-3579,60,280,560
I-3580,200,240,560
I-3581,100,280,700
I-3582,200,260,600
I-3583,200,240,500
I-3584,100,260,360
I-3585,60,240,400
I-3586,60,280,360
I-3587,100,260,300
I-3588,100,280,480
I-3589,200,280,560
I-3590,150,240,360
I-3591,150,280,400
I-3592,100,260,400
I-3593,200,280,560
I-3594,150,260,700
I-3595,100,240,500
I-3596,100,240,560
I-3597,150,240,480
I-3598,60,240,360
I-3599,150,280,600
I-3600,150,260,560
I-3601,100,240,500
I-3602,100,280,560
I-3603,100,240,480
I-3604,150,260,300
I-3605,200,260,360
I-3606,150,280,360
I-3607,150,280,420
I-3608,100,280,560
I-3609,100,260,600
I-3610,100,280,300
I-3611,200,260,480
I-3612,100,240,600
I-3613,150,240,480
I-3614,150,260,480
I-3615,200,240,700
I-3616,100,240,600
I-3617,150,260,360
I-3618,60,260,360
I-3619,150,280,600
I-3620,150,280,360
I-3621,60,240,300
I-3622,100,260,500
I-3623,100,280,400
I-3624,100,280,400
I-3625,100,280,480
I-3626,60,240,420
I-3627,150,260,300
I-3628,60,260,420
I-3629,60,280,700
I-3630,60,280,400
I-3631,60,240,300
I-3632,150,260,360
I-3633,100,240,560
I-3634,150,240,600
I-3635,60,240,600
I-3636,100,240,300
I-3637,150,240,420
I-3638,150,240,400
I-3639,150,280,420
I-3640,60,240,560
I-3641,60,280,420
I-3642,60,240,600
I-3643,100,260,300
I-3644,150,280,360
I-3645,60,240,480
I-3646,200,240,700
I-3647,60,280,600
I-3648,100,240,700
I-3649,100,260,560
I-3650,60,240,300
I-3651,60,280,360
I-3652,60,260,360
I-3653,60,240,420
I-3654,200,240,300
I-3655,60,240,420
I-3656,200,260,360
I-3657,100,240,300
I-3658,200,260,560
I-3659,200,280,700
I-3660,150,260,360
I-3661,100,260,700
I-3662,60,280,360
I-3663,150,260,400
I-3664,150,240,600
I-3665,60,240,400
I-3666,200,260,700
I-3667,150,240,300
I-3668,150,260,300
I-3669,100,240,480
I-3670,60,280,400
I-3671,200,240,300
I-3672,60,260,560
I-3673,60,240,500
I-3674,150,280,560
I-3675,60,240,500
I-3676,60,260,300
I-3677,200,280,420
I-3678,200,240,500
I-3679,60,260,560
I-3680,200,260,560
I-3681,200,280,500
I-3682,200,280,420
I-3683,100,260,560
I-3684,200,260,560
I-3685,100,280,500
I-3686,100,280,400
I-3687,150,260,480
I-3688,100,240,400
I-3689,200,240,560
I-3690,150,260,420
I-3691,150,240,600
I-3692,100,240,400
I-3693,150,280,400
I-3694,100,240,480
I-3695,60,260,560
I-3696,100,240,300
I-3697,60,280,420
I-3698,60,280,700
I-3699,60,260,500
I-3700,200,280,500
I-3701,60,280,300
I-3702,150,260,300
I-3703,100,240,300
I-3704,100,280,560
I-3705,60,240,480
I-3706,60,240,400
I-3707,100,240,700
I-3708,200,240,420
I-3709,200,280,700
I-3710,60,240,600
I-3711,60,280,500
I-3712,200,280,420
I-3713,200,280,500
I-3714,200,280,420
I-3715,60,280,560
I-3716,200,240,500
I-3717,100,280,420
I-3718,100,240,500
I-3719,100,240,700
I-3720,60,260,560
I-3721,150,240,300
I-3722,100,240,300
I-3723,60,280,560
I-3724,200,260,500
I-3725,150,240,480
I-3726,150,240,360
I-3727,200,280,400
I-3728,150,280,300
I-3729,60,280,360
I-3730,60,260,600
I-3731,60,260,400
I-3732,150,240,420
I-3733,60,280,420
I-3734,100,240,300
I-3735,150,260,500
I-3736,200,260,300
I-3737,100,260,400
I-3738,200,280,400
I-3739,60,260,500
I-3740,100,260,300
I-3741,150,280,480
I-3742,150,260,560
I-3743,200,280,500
I-3744,60,240,480
I-3745,200,260,480
I-3746,100,280,480
I-3747,60,240,300
I-3748,60,240,700
I-3749,150,260,480
I-3750,200,280,700
I-3751,60,260,300
I-3752,150,280,560
I-3753,150,260,600
I-3754,100,260,600
I-3755,100,280,600
I-3756,200,260,420
I-3757,100,280,700
I-3758,200,280,600
I-3759,100,260,480
I-3760,200,260,560
I-3761,60,240,500
I-3762,200,240,300
I-3763,60,280,500
I-3764,150,240,560
I-3765,150,260,700
I-3766,150,260,500
I-3767,200,280,360
I-3768,60,240,600
I-3769,60,280,480
I-3770,200,240,700
I-3771,100,280,600
I-3772,150,240,600
I-3773,60,260,400
I-3774,200,260,560
I-3775,200,240,300
I-3776,100,240,480
I-3777,150,260,420
I-3778,200,280,420
I-3779,60,240,600
I-3780,150,240,480
I-3781,150,240,700
I-3782,60,240,700
I-3783,100,260,300
I-3784,200,240,400
I-3785,60,280,400
I-3786,100,260,500
I-3787,150,260,560
I-3788,60,240,400
I-3789,200,240,360
I-3790,200,260,560
I-3791,200,280,700
I-3792,150,280,700
I-3793,100,240,400
I-3794,100,240,480
I-3795,200,280,600
I-3796,60,240,600
I-3797,200,260,400
I-3798,200,260,480
I-3799,100,240,500
I-3800,150,280,300
I-3801,150,280,360
I-3802,100,240,360
I-3803,100,260,480
I-3804,200,260,400
I-3805,60,280,300
I-3806,200,260,560
I-3807,60,240,420
I-3808,150,280,560
I-3809,100,260,600
I-3810,60,280,300
I-3811,200,260,700
I-3812,200,280,400
I-3813,100,280,500
I-3814,60,240,600
I-3815,60,280,560
I-3816,100,280,700
I-3817,60,280,700
I-3818,60,280,420
I-3819,200,280,600
I-3820,100,260,700
I-3821,150,240,560
I-3822,60,280,360
I-3823,200,240,500
I-3824,60,280,500
I-3825,150,260,360
I-3826,150,240,500
I-3827,200,280,700
I-3828,60,260,560
I-3829,60,240,360
I-3830,100,260,400
I-3831,150,280,600
I-3832,60,260,480
I-3833,100,280,400
I-3834,100,280,300
I-3835,150,260,480
I-3836,150,260,480
I-3837,200,260,500
I-3838,150,240,300
I-3839,200,240,420
I-3840,60,280,420
I-3841,100,260,560
I-3842,60,280,400
I-3843,60,240,300
I-3844,60,280,500
I-3845,150,240,480
I-3846,60,260,500
I-3847,150,280,400
I-3848,150,280,420
I-3849,150,240,360
I-3850,60,280,600
I-3851,150,280,700
I-3852,100,240,360
I-3853,200,260,500
I-3854,100,240,560
I-3855,100,260,360
I-3856,200,280,420
I-3857,100,260,560
I-3858,60,240,420
I-3859,150,280,700
I-3860,100,240,480
I-3861,150,240,500
I-3862,200,260,400
I-3863,200,260,560
I-3864,60,240,300
I-3865,60,260,700
I-3866,150,240,420
I-3867,100,280,360
I-3868,200,240,480
I-3869,60,240,700
I-3870,150,260,600
I-3871,150,280,600
I-3872,60,260,700
I-3873,150,240,500
I-3874,200,280,360
I-3875,150,240,500
I-3876,100,280,480
I-3877,200,260,700
I-3878,60,260,360
I-3879,60,260,500
I-3880,60,280,600
I-3881,150,240,700
I-3882,150,280,600
I-3883,200,260,700
I-3884,200,240,300
I-3885,60,260,500
I-3886,150,260,420
I-3887,150,280,420
I-3888,60,280,480
I-3889,150,280,600
I-3890,60,260,500
I-3891,150,260,500
I-3892,100,260,700
I-3893,60,280,500
I-3894,60,280,300
I-3895,150,260,700
I-3896,150,240,560
I-3897,60,260,420
I-3898,60,240,700
I-3899,150,280,400
I-3900,100,280,500
I-3901,150,240,300
I-3902,150,280,400
I-3903,200,260,400
I-3904,150,260,600
I-3905,60,240,600
I-3906,150,280,400
I-3907,60,280,480
I-3908,200,260,300
I-3909,100,240,560
I-3910,150,280,360
I-3911,150,260,480
I-3912,60,280,560
I-3913,60,280,480
I-3914,100,280,420
I-3915,200,260,480
I-3916,150,260,400
I-3917,100,260,400
I-3918,200,280,600
I-3919,200,280,700
I-3920,100,240,500
I-3921,150,260,420
I-3922,60,240,400
I-3923,60,280,700
I-3924,150,260,480
I-3925,150,280,400
I-3926,100,240,360
I-3927,150,260,700
I-3928,200,260,500
I-3929,60,240,500
I-3930,150,260,700
I-3931,150,280,700
I-3932,100,280,360
I-3933,100,280,560
I-3934,100,280,600
I-3935,150,260,700
I-3936,60,260,600
I-3937,150,240,560
I-3938,100,260,420
I-3939,150,260,480
I-3940,200,260,360
I-3941,200,260,400
I-3942,150,260,300
I-3943,100,280,420
I-3944,150,260,500
I-3945,100,280,400
I-3946,200,240,700
I-3947,100,260,420
I-3948,150,260,560
I-3949,60,240,500
I-3950,100,280,560
I-3951,60,260,360
I-3952,150,240,480
I-3953,150,240,480
I-3954,150,280,480
I-3955,100,280,480
I-3956,200,260,300
I-3957,100,260,480
I-3958,60,260,480
I-3959,150,280,500
I-3960,200,260,360
I-3961,100,280,560
I-3962,200,240,480
I-3963,100,240,560
I-3964,100,240,560
I-3965,60,260,300
I-3966,100,280,600
I-3967,200,240,360
I-3968,60,280,600
I-3969,100,260,300
I-3970,150,260,560
I-3971,60,260,700
I-3972,60,260,420
I-3973,150,280,360
I-3974,100,260,300
I-3975,100,280,420
I-3976,150,280,300
I-3977,150,260,400
I-3978,60,280,420
I-3979,200,280,600
I-3980,100,280,360
I-3981,100,280,480
I-3982,60,260,300
I-3983,150,260,500
I-3984,150,260,360
I-3985,150,280,600
I-3986,100,240,420
I-3987,100,280,300
I-3988,200,280,480
I-3989,60,260,400
I-3990,200,260,480
I-3991,100,260,700
I-3992,60,260,560
I-3993,100,260,700
I-3994,200,280,360
I-3995,60,260,600
I-3996,200,240,560
I-3997,200,280,300
I-3998,60,240,300
I-3999,60,280,480
I-4000,60,260,400
I-4001,100,260,480
I-4002,150,280,500
I-4003,200,240,480
I-4004,150,260,480
I-4005,150,260,480
I-4006,100,260,500
I-4007,150,240,500
I-4008,200,240,500
I-4009,100,240,500
I-4010,60,280,400
I-4011,150,280,480
I-4012,150,240,300
I-4013,60,260,300
I-4014,150,280,500
I-4015,200,260,360
I-4016,150,280,480
I-4017,200,240,700
I-4018,200,280,300
I-4019,60,240,500
I-4020,60,280,500
I-4021,200,260,360
I-4022,100,240,480
I-4023,200,240,480
I-4024,200,260,700
I-4025,200,260,480
I-4026,150,280,400
I-4027,200,280,560
I-4028,150,260,300
I-4029,200,260,300
I-4030,60,260,700
I-4031,60,260,480
I-4032,100,280,600
I-4033,60,280,300
I-4034,100,240,300
I-4035,150,240,360
I-4036,150,260,500
I-4037,150,260,400
I-4038,200,240,300
I-4039,150,240,560
I-4040,60,240,700
I-4041,100,280,360
I-4042,100,280,560
I-4043,100,280,500
I-4044,150,240,700
I-4045,150,260,560
I-4046,200,240,300
I-4047,150,240,600
I-4048,200,240,480
I-4049,200,260,560
I-4050,150,260,420
I-4051,100,280,300
I-4052,100,260,400
I-4053,60,240,360
I-4054,100,260,480
I-4055,60,260,360
I-4056,100,260,600
I-4057,60,240,300
I-4058,200,280,700
I-4059,150,260,400
I-4060,150,260,600
I-4061,100,280,360
I-4062,200,280,300
I-4063,200,240,400
I-4064,60,260,560
I-4065,100,240,700
I-4066,60,260,420
I-4067,200,280,480
I-4068,200,260,400
I-4069,200,260,560
I-4070,150,280,700
I-4071,100,280,500
I-4072,100,260,420
I-4073,200,260,500
I-4074,60,280,400
I-4075,200,240,600
I-4076,100,280,700
I-4077,100,240,360
I-4078,150,260,560
I-4079,150,280,600
I-4080,60,280,500
I-4081,200,240,300
I-4082,100,260,480
I-4083,100,280,600
I-4084,100,260,500
I-4085,200,280,360
I-4086,60,240,420
I-4087,100,260,420
I-4088,150,280,600
I-4089,60,280,600
I-4090,150,280,700
I-4091,150,280,300
I-4092,200,240,360
I-4093,200,240,500
I-4094,100,240,500
I-4095,200,260,400
I-4096,100,280,560
I-4097,60,280,420
I-4098,200,240,700
I-4099,100,240,400
I-4100,100,240,300
I-4101,200,260,420
I-4102,100,280,560
I-4103,100,240,480
I-4104,100,260,560
I-4105,60,260,560
I-4106,200,240,480
I-4107,100,260,600
I-4108,150,280,480
I-4109,200,240,300
I-4110,150,280,500
I-4111,200,260,700
I-4112,60,280,300
I-4113,100,240,300
I-4114,150,280,560
I-4115,150,260,420
I-4116,60,260,600
I-4117,100,260,480
I-4118,60,240,500
I-4119,60,280,600
I-4120,60,280,500
I-4121,100,240,700
I-4122,60,280,400
I-4123,150,280,500
I-4124,200,240,420
I-4125,200,260,360
I-4126,60,280,500
I-4127,200,260,480
